Time,X,Y,Z,Start
45.401938,116,132,156,1
45.442089,119,132,156,0
45.482224,125,132,151,0
45.522366,123,128,149,0
45.562514,129,127,149,0
45.602646,127,124,148,0
45.642779,125,122,149,0
45.682914,124,121,141,0
45.723045,120,125,154,0
45.763192,119,120,154,0
45.80338,118,121,151,0
45.843516,120,119,149,0
45.883659,122,116,149,0
45.923806,121,116,149,0
45.963937,120,116,151,0
46.004074,121,116,150,0
46.044221,121,117,148,0
46.084353,123,117,147,0
46.124494,121,118,147,0
46.164646,121,119,145,0
46.204778,121,123,141,0
46.244916,120,126,143,0
46.285065,119,130,152,0
46.325201,129,139,158,0
46.365347,124,190,105,0
46.405506,234,246,14,0
46.445644,180,250,105,0
46.48579,246,251,154,0
46.525939,250,252,244,0
46.566071,186,253,246,0
46.60621,118,252,230,0
46.646348,73,174,157,0
46.68648,120,141,143,0
46.726618,123,135,145,0
46.766756,108,132,142,0
46.806888,106,130,137,0
46.847028,108,130,137,0
46.887184,98,130,136,0
46.927316,101,130,137,0
46.96746,102,129,136,0
47.007613,106,129,138,0
47.047748,107,125,140,0
47.087884,116,126,145,0
47.128032,105,130,152,0
47.168165,113,128,142,0
47.208309,127,127,145,0
47.248473,116,127,148,0
47.288603,120,128,154,0
47.328737,116,133,160,0
47.368876,114,131,163,0
47.409001,108,134,158,0
47.449136,105,138,158,0
47.489274,114,138,164,0
47.529403,113,139,160,0
47.569527,108,140,163,0
47.609661,110,142,160,0
47.64979,114,145,158,0
47.689928,109,146,159,0
47.730063,110,148,163,0
47.770194,111,149,161,0
47.810328,116,149,160,0
47.85047,119,146,159,0
47.890601,119,145,159,0
47.93074,124,142,155,0
47.970886,124,139,154,0
48.011018,125,136,152,0
48.051157,124,133,149,0
48.091318,117,130,150,0
48.131449,117,129,151,0
48.171588,120,126,151,0
48.211743,125,124,152,0
48.251884,119,122,154,0
48.292022,123,122,155,0
48.33217,127,122,148,0
48.372298,132,122,149,0
48.412403,135,121,149,0
48.452547,137,121,145,0
48.492678,142,122,143,0
48.532816,145,123,139,0
48.572962,150,123,139,0
48.613088,153,123,147,0
48.653215,147,128,148,0
48.693346,151,135,143,0
48.733477,153,147,141,0
48.773615,156,175,131,0
48.813767,180,217,103,0
48.853898,208,247,64,0
48.894035,245,250,113,0
48.93419,250,251,233,0
48.974326,31,252,143,1
49.014466,35,252,56,0
49.054631,117,175,87,0
49.094764,146,115,174,0
49.134907,134,124,120,0
49.175063,137,129,115,0
49.215192,107,125,122,0
49.255328,105,128,117,0
49.295468,104,123,125,0
49.335596,103,118,126,0
49.375741,117,120,134,0
49.415894,107,119,134,0
49.456025,106,125,132,0
49.496164,109,128,133,0
49.536311,109,123,130,0
49.576447,117,122,136,0
49.616579,120,120,137,0
49.656711,112,123,132,0
49.69684,114,125,142,0
49.73698,115,125,145,0
49.777133,110,130,143,0
49.817292,108,125,158,0
49.857431,100,126,164,0
49.89758,100,129,158,0
49.937714,101,133,156,0
49.977857,94,138,161,0
50.018016,99,141,160,0
50.058151,108,142,160,0
50.098294,112,141,160,0
50.138441,118,141,159,0
50.178572,120,138,158,0
50.218714,123,136,157,0
50.258865,127,132,158,0
50.298998,127,130,156,0
50.339143,129,128,154,0
50.379296,132,125,152,0
50.419431,132,122,152,0
50.459577,132,121,150,0
50.499727,133,119,150,0
50.53986,135,119,149,0
50.579997,140,118,144,0
50.620132,141,117,143,0
50.660263,143,116,141,0
50.700394,145,115,142,0
50.740529,144,115,140,0
50.780664,141,114,143,0
50.820803,140,114,146,0
50.860953,140,114,148,0
50.901091,138,114,145,0
50.941235,138,116,147,0
50.981389,137,117,147,0
51.021518,137,116,145,0
51.061656,139,115,146,0
51.101804,141,116,145,0
51.141938,139,116,148,0
51.182077,139,117,151,0
51.222229,136,120,149,0
51.262361,138,121,142,0
51.302499,141,121,149,0
51.342643,140,127,145,0
51.382776,149,135,145,0
51.422916,147,155,143,0
51.463061,184,201,97,0
51.503197,218,238,59,0
51.543381,242,246,123,0
51.583631,250,250,186,0
51.623765,144,251,207,0
51.663905,51,252,170,1
51.704047,67,212,144,0
51.744181,106,175,93,0
51.784322,112,142,114,0
51.824485,104,132,129,0
51.864618,107,125,137,0
51.904763,107,123,137,0
51.944917,106,123,141,0
51.985048,103,125,140,0
52.025188,103,125,140,0
52.065326,108,124,140,0
52.105455,114,124,142,0
52.14559,109,120,139,0
52.18573,112,122,141,0
52.225863,118,121,145,0
52.266009,119,121,144,0
52.306165,120,120,143,0
52.346301,122,122,143,0
52.386441,124,122,143,0
52.426591,123,123,145,0
52.46672,122,128,148,0
52.50686,121,132,152,0
52.547004,112,137,152,0
52.587138,103,137,151,0
52.627273,104,138,155,0
52.667411,105,140,149,0
52.707542,112,145,146,0
52.747681,108,146,165,0
52.787823,101,149,168,0
52.827957,102,153,162,0
52.868102,105,151,167,0
52.908248,114,151,169,0
52.948381,122,148,167,0
52.988517,126,147,171,0
53.028663,130,147,165,0
53.068796,132,145,158,0
53.108948,134,141,160,0
53.149093,134,138,155,0
53.189221,134,132,150,0
53.229355,134,129,150,0
53.269505,134,125,146,0
53.309634,132,122,148,0
53.349776,131,120,147,0
53.38992,131,118,147,0
53.430049,133,117,147,0
53.470185,133,116,147,0
53.510342,134,116,146,0
53.550471,136,116,145,0
53.590604,134,116,145,0
53.63074,134,116,145,0
53.670872,135,115,145,0
53.71101,133,115,147,0
53.75114,134,115,148,0
53.791269,134,116,147,0
53.831408,136,117,146,0
53.871552,138,119,149,0
53.911679,135,123,147,0
53.951818,131,129,146,0
53.99196,130,140,150,0
54.032088,139,172,150,0
54.072227,183,207,116,0
54.112375,212,244,140,0
54.152504,247,249,166,0
54.192639,250,252,236,0
54.232787,223,252,248,0
54.27292,107,253,226,0
54.313059,50,252,154,1
54.353216,62,208,122,0
54.393347,98,175,104,0
54.433482,130,148,141,0
54.473625,108,139,129,0
54.513757,113,135,124,0
54.553885,103,130,136,0
54.59402,92,130,136,0
54.634152,99,130,122,0
54.674289,99,127,133,0
54.714426,99,124,143,0
54.754557,101,123,136,0
54.794695,111,122,142,0
54.834829,108,119,141,0
54.874958,108,120,141,0
54.915091,114,122,146,0
54.95525,110,122,144,0
54.995381,114,123,144,0
55.035517,114,123,145,0
55.075655,113,123,145,0
55.115783,113,122,146,0
55.155922,113,122,145,0
