Time,X,Y,Z,Start
19.068226,157,133,132,1
19.10838,156,133,132,0
19.148652,157,133,132,0
19.188786,157,133,132,0
19.228929,157,133,132,0
19.269085,157,133,132,0
19.309218,157,133,132,0
19.349361,157,133,132,0
19.389522,156,133,132,0
19.429661,156,133,132,0
19.469805,157,133,132,0
19.509952,157,133,132,0
19.550075,156,133,132,0
19.590215,157,133,133,0
19.630354,156,123,138,0
19.670489,157,136,117,0
19.710634,160,134,135,0
19.750826,169,137,124,0
19.790962,154,131,141,0
19.831101,156,130,145,0
19.871252,138,132,155,0
19.911388,142,133,158,0
19.951532,123,133,158,0
19.99169,131,133,151,0
20.031831,135,132,172,0
20.071985,128,132,159,0
20.112148,142,125,167,0
20.152291,135,124,152,0
20.192397,147,119,151,0
20.232547,151,124,152,0
20.272684,150,123,142,0
20.312827,147,121,145,0
20.352982,145,121,149,0
20.393119,147,117,141,0
20.433264,147,119,139,0
20.473421,146,118,133,0
20.513557,138,124,135,0
20.553695,136,131,130,0
20.593838,112,133,132,0
20.633975,118,133,145,0
20.674119,129,139,129,0
20.714261,132,215,93,0
20.754397,7,247,99,0
20.794548,3,250,224,1
20.83471,101,251,207,0
20.874846,105,251,246,0
20.914994,140,252,250,0
20.955157,179,252,168,0
20.995296,207,208,114,0
21.035448,174,171,114,0
21.075617,150,154,138,0
21.115761,175,148,128,0
21.155917,174,142,112,0
21.196084,153,135,121,0
21.236228,148,130,124,0
21.276393,152,127,130,0
21.316552,160,124,134,0
21.356692,153,121,133,0
21.396838,151,116,140,0
21.436996,149,113,143,0
21.477137,144,115,145,0
21.517301,147,116,147,0
21.557513,145,118,151,0
21.597651,144,120,149,0
21.637792,145,120,151,0
21.677929,147,120,153,0
21.718061,147,118,155,0
21.758206,144,117,159,0
21.798381,142,118,159,0
21.838515,137,119,158,0
21.878657,137,119,158,0
21.918808,133,120,150,0
21.958943,141,119,149,0
21.999087,141,119,146,0
22.039237,142,117,147,0
22.079371,147,116,155,0
22.11951,151,118,152,0
22.159662,153,115,151,0
22.199796,161,119,150,0
22.239939,166,121,145,0
22.280093,167,123,147,0
22.320226,161,127,141,0
22.360362,159,130,141,0
22.400524,156,130,141,0
22.440674,147,129,141,0
22.480823,141,121,146,0
22.520971,137,117,143,0
22.561102,137,115,141,0
22.60124,141,114,137,0
22.641376,141,114,139,0
22.681508,144,112,141,0
22.721652,144,116,136,0
22.76182,147,117,137,0
22.801952,144,116,137,0
22.842089,142,116,136,0
22.88224,143,115,137,0
22.922374,146,116,135,0
22.962514,144,115,138,0
23.002665,147,117,134,0
23.042802,144,121,135,0
23.082948,138,122,135,0
23.123101,139,126,137,0
23.163233,138,138,132,0
23.203374,132,154,135,0
23.243528,137,212,131,0
23.283663,100,245,133,0
23.323804,3,250,205,1
23.363957,157,250,218,0
23.404091,89,252,248,0
23.44423,92,252,250,0
23.484388,123,253,248,0
23.524517,147,252,180,0
23.564648,151,223,154,0
23.604783,166,178,136,0
23.644916,160,160,127,0
23.685074,154,153,118,0
23.725266,152,148,115,0
23.765402,157,143,108,0
23.805544,151,138,115,0
23.845699,151,134,113,0
23.885837,150,130,115,0
23.925978,153,127,125,0
23.966151,151,127,119,0
24.006286,154,132,123,0
24.04643,154,127,128,0
24.086586,151,125,128,0
24.126724,154,122,135,0
24.166868,158,120,136,0
24.207023,156,123,134,0
24.247165,154,122,139,0
24.287307,159,122,138,0
24.327458,154,123,137,0
24.367594,154,123,140,0
24.407736,155,122,141,0
24.44789,152,125,141,0
24.488025,150,124,142,0
24.528157,150,125,143,0
24.56829,151,123,147,0
24.608384,156,125,148,0
24.648515,158,126,150,0
24.688652,158,127,152,0
24.728795,156,129,150,0
24.768928,151,129,148,0
24.809074,158,128,155,0
24.849237,160,127,151,0
24.889376,158,125,153,0
24.929518,156,124,149,0
24.969673,154,125,145,0
25.009814,155,125,143,0
25.049964,152,124,141,0
25.090121,151,125,140,0
25.130263,151,123,139,0
25.170409,149,123,141,0
25.210568,151,120,140,0
25.250706,147,120,137,0
25.290857,151,119,133,0
25.331012,150,121,132,0
25.371147,147,124,134,0
25.411295,139,125,135,0
25.451457,133,127,137,0
25.4916,133,132,137,0
25.531778,145,145,130,0
25.572025,146,223,127,0
25.61216,43,247,149,0
25.652297,3,250,169,1
25.692445,154,251,209,0
25.732581,153,252,247,0
25.77272,153,252,250,0
25.812878,204,252,250,0
25.853017,185,253,213,0
25.893162,158,253,181,0
25.933326,179,249,147,0
25.97347,193,191,100,0
26.01362,157,168,112,0
26.053788,158,157,104,0
26.093926,157,149,112,0
26.13407,155,146,112,0
26.174218,151,136,114,0
26.214353,151,132,118,0
26.254498,150,131,117,0
26.294659,155,127,120,0
