Time,X,Y,Z,Start
71.982109,140,134,159,1
72.022245,135,132,155,0
72.062393,138,133,152,0
72.102547,135,131,153,0
72.142685,134,129,153,0
72.182834,135,124,159,0
72.222987,138,127,150,0
72.263129,143,102,150,0
72.303284,131,114,147,0
72.343443,135,125,147,0
72.383583,140,123,155,0
72.423731,131,127,160,0
72.463883,135,123,153,0
72.50402,133,125,156,0
72.544157,133,120,157,0
72.584311,130,111,150,0
72.624452,130,118,154,0
72.664589,126,123,156,0
72.704728,135,123,157,0
72.744865,119,121,155,0
72.785004,128,116,151,0
72.825194,108,124,158,0
72.865331,128,109,161,0
72.90548,117,121,159,0
72.945638,127,123,152,0
72.98578,119,126,165,0
73.025928,128,124,156,0
73.06609,123,124,154,0
73.106254,128,123,153,0
73.146403,134,121,156,0
73.186568,133,120,146,0
73.226713,131,123,145,0
73.266867,129,114,142,0
73.307031,131,112,151,0
73.347174,129,114,145,0
73.387324,131,112,148,0
73.427481,130,116,148,0
73.467618,124,112,146,0
73.507766,125,113,142,0
73.547913,121,112,146,0
73.588038,124,112,145,0
73.62818,132,114,142,0
73.668325,134,116,138,0
73.708472,135,116,136,0
73.748612,135,117,136,0
73.788753,131,123,137,0
73.828891,136,130,132,0
73.869037,138,136,143,0
73.909197,140,151,139,0
73.949343,120,194,140,0
73.989494,127,243,139,0
74.029655,242,249,117,0
74.069794,188,252,222,0
74.10994,195,251,244,0
74.150099,247,253,250,0
74.19024,214,252,251,0
74.230387,56,253,214,0
74.27055,22,201,152,0
74.31069,134,176,136,0
74.35084,100,159,128,0
74.391,99,140,147,0
74.431141,116,138,131,0
74.471292,101,136,130,0
74.511457,107,135,135,0
74.551607,103,132,134,0
74.591756,100,130,137,0
74.631902,108,131,132,0
74.672041,105,128,136,0
74.712185,102,128,137,0
74.752329,108,128,141,0
74.79247,110,129,138,0
74.832613,111,128,143,0
74.872772,113,129,143,0
74.912907,111,129,149,0
74.953052,111,127,151,0
74.993208,109,127,150,0
75.033346,110,128,151,0
75.07349,111,130,152,0
75.113649,112,127,153,0
75.153789,112,128,156,0
75.193936,113,128,152,0
75.234094,108,127,156,0
75.274237,110,129,153,0
75.314388,109,129,153,0
75.354547,110,129,147,0
75.394683,112,128,145,0
75.434831,111,127,147,0
75.474995,112,125,149,0
75.51514,116,121,151,0
75.555283,117,119,149,0
75.595425,118,116,149,0
75.635566,119,113,150,0
75.675708,124,112,152,0
